,SNO,State,District,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
0,1,Andaman & Nicobar Islands,South Andaman,169,162,4,0,0,0,0,3,3,0,0,61
1,1,Andhra Pradesh,Anantapur,52526,4119,21058,21058,21040,0,3,27346,21073,0,3,9
2,2,Andhra Pradesh,Chittoor,17118,279,6954,6954,6945,0,2,9883,6965,0,4,7
3,3,Andhra Pradesh,East Godavari,24691,597,13989,13989,13972,0,2,10103,13999,0,3,11
4,4,Andhra Pradesh,Guntur,45788,1633,25198,25198,25182,0,4,18953,25211,0,7,8
5,5,Andhra Pradesh,Krishna,24535,414,14281,14281,14264,0,2,9838,14288,0,2,9
6,6,Andhra Pradesh,Kurnool,43836,315,22262,22262,22246,0,5,21254,22277,0,0,10
7,7,Andhra Pradesh,Nellore,34365,5258,19678,19672,19647,0,4,9425,19685,0,8,2
8,8,Andhra Pradesh,Prakasam,31048,454,14969,14969,14954,0,2,15623,14975,0,5,19
9,9,Andhra Pradesh,Srikakulam,17708,542,8493,8493,8490,0,6,8667,8505,0,2,6
10,10,Andhra Pradesh,Visakhapatnam,34864,298,16642,16642,16622,0,6,17918,16656,0,48,12
11,11,Andhra Pradesh,Vizianagaram,23176,662,9966,9966,9960,0,4,12544,9971,0,1,2
12,12,Andhra Pradesh,West Godavari,14969,139,7282,7282,7279,0,1,7547,7288,0,6,4
13,13,Andhra Pradesh,Y.S.R.,24167,1485,11742,11742,11733,0,7,10933,12062,0,2,6
14,1,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
15,2,Arunachal Pradesh,Changlang,134,1,132,132,132,1,0,0,132,132,1,0
16,3,Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
17,4,Arunachal Pradesh,East Kameng,559,404,152,151,151,3,0,0,554,0,0,0
18,5,Arunachal Pradesh,East Siang,86,0,85,72,72,0,0,1,83,71,0,0
19,6,Arunachal Pradesh,Karung Kumey,242,0,241,5,5,1,0,0,235,1,0,0
20,7,Arunachal Pradesh,Kra Dadi,166,0,166,118,118,0,0,0,166,24,0,0
21,8,Arunachal Pradesh,Lohit,388,44,334,325,325,8,2,0,325,276,39,1
22,9,Arunachal Pradesh,Lower Dibang Valley,684,9,653,526,405,21,0,1,525,402,1,0
23,10,Arunachal Pradesh,Lower Subansari,308,300,8,0,0,0,0,0,249,0,0,0
24,11,Arunachal Pradesh,Papum Pare,619,0,600,600,595,19,0,0,600,1,1,0
25,12,Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0,0
26,13,Arunachal Pradesh,Tawang,104,12,92,92,91,0,0,0,92,92,0,0
27,14,Arunachal Pradesh,Tirap,398,242,154,54,54,2,0,0,398,54,0,0
28,15,Arunachal Pradesh,Upper Siang,209,1,207,207,207,1,0,0,208,0,0,0
29,16,Arunachal Pradesh,Upper Subansari,198,86,111,111,111,0,1,0,197,111,0,0
30,17,Arunachal Pradesh,West Kameng,15,15,0,0,0,0,0,0,14,0,0,0
31,18,Arunachal Pradesh,West Siang,210,0,210,0,0,0,0,0,206,0,0,0
32,1,Assam,Baksa,1558,1358,197,196,0,1,2,0,89,0,3,0
33,2,Assam,Barpeta Road,27316,24134,3082,2703,5,36,42,22,3719,0,342,22
34,3,Assam,Bongaigaon,2129,914,1187,734,0,16,1,11,964,0,3,1
35,4,Assam,Cachar,5292,2652,2584,2233,3,48,3,5,2855,0,28,1
36,5,Assam,Chairang,987,66,838,263,0,54,4,25,668,0,3,1
37,6,Assam,Darrang,2248,1763,436,284,0,13,2,34,1055,56,105,0
38,7,Assam,Dhemaji,4367,2687,1615,270,0,56,4,5,2243,0,58,3
39,8,Assam,Dhubri,17412,9696,6847,5060,3,33,12,824,5711,0,147,4
40,9,Assam,Dibrugarh,3249,1582,1581,826,0,82,1,3,507,0,11,0
41,10,Assam,Dima Hassao,4374,1887,1707,934,0,75,0,705,1086,68,432,1
42,11,Assam,Goalpara,4890,2897,1946,311,0,1,3,43,2902,0,0,4
43,12,Assam,Golaghat,66621,42433,1862,891,82,6219,1,16106,1483,145,39,0
44,13,Assam,Hailakandi,2578,1470,1053,570,13,27,8,20,1252,4,47,10
45,14,Assam,Jorhat,6705,4261,1935,762,0,12,4,493,889,0,25,2
46,15,Assam,Kamrup,1426,309,842,831,0,216,4,55,785,1,2,3
47,16,Assam,Kamrup Metropolitian,11973,3377,8581,7074,1,9,4,2,2495,0,85,27
48,17,Assam,Karbi Anlong,73684,29260,3509,2562,0,8736,11,32168,2588,0,125,14
49,18,Assam,Karimganj,1217,668,480,468,0,12,3,54,524,0,3,1
50,19,Assam,Kokrajhar,552,79,437,435,0,23,1,12,473,0,0,0
51,20,Assam,Majuli,0,0,0,0,0,0,0,0,0,0,0,0
52,21,Assam,Marigaon,4961,1107,1111,0,0,2,6,2735,1020,0,33,9
53,22,Assam,Nagaon,60914,17661,6697,5513,1040,3281,28,33247,5604,1353,45,14
54,23,Assam,Nalbari,1509,1113,271,117,0,0,0,125,1228,0,2,0
55,24,Assam,North Lakhimpur,4894,3401,1458,995,1,12,4,19,1858,1,128,7
56,25,Assam,Sibsagar,3911,1355,2430,1917,1,114,2,10,2453,191,24,0
57,26,Assam,Sonitpur,3098,1423,1210,1175,45,13,3,449,1089,0,90,18
58,27,Assam,Tinsukia,2703,1740,891,606,0,30,5,37,1332,0,19,1
59,28,Assam,Udalguri,1786,905,216,216,0,0,1,664,518,4,97,1
60,1,Bihar,Araria,6677,963,5601,3584,744,100,10,3,3028,1147,1471,126
61,2,Bihar,Arwal,5051,578,3688,873,258,24,6,755,1153,0,765,25
62,3,Bihar,Aurangabad,5423,1153,3799,2904,1223,291,20,160,2298,996,777,71
63,4,Bihar,Banka,3172,1136,1945,1833,948,76,10,5,1085,0,294,48
64,5,Bihar,Begusarai,52238,10127,39061,36439,20770,1278,30,1742,8992,678,11067,75
65,6,Bihar,Bhagalpur,17375,1653,15445,14104,10289,220,14,43,8182,2989,4095,592
66,7,Bihar,Bhojpur,14627,2521,11652,10012,4950,178,16,260,5299,1522,2995,58
67,8,Bihar,Buxar,4613,253,4284,3398,945,68,6,2,2536,1765,920,41
68,9,Bihar,Darbhanga,13604,3477,9671,8774,2817,411,27,18,5226,1577,3811,134
69,10,Bihar,Gaya,21067,6000,14084,11918,9822,895,27,61,6448,652,4200,70
70,11,Bihar,Gopalganj,8462,766,7586,5818,1022,46,19,45,3132,828,2070,45
71,12,Bihar,Jamui,8857,1955,6816,6718,1322,26,5,55,3370,2484,2821,27
72,13,Bihar,Jehanabad,6996,1302,5656,5012,2314,18,3,17,2210,294,1962,12
73,14,Bihar,Kaimur(Bhabua),2739,219,2072,1968,864,426,7,15,1221,0,515,47
74,15,Bihar,Katihar,15441,1741,13477,11128,8107,169,16,38,1396,0,6025,41
75,16,Bihar,Khagaria,6417,1350,4828,2711,871,227,6,6,1725,0,694,21
76,17,Bihar,Kishanganj,15390,3786,11395,10359,4683,183,21,5,6655,413,2977,11
77,18,Bihar,Lakhisarai,6657,155,6458,3605,2170,36,3,5,2577,1103,1244,10
78,19,Bihar,Madhepura,10565,1795,8666,8589,6388,71,10,23,2373,1479,6476,34
79,20,Bihar,Madhubani,18822,3788,14664,10144,3733,163,63,144,5178,1182,4890,204
80,21,Bihar,Munger,12047,555,11433,9618,5902,44,12,3,3924,663,3732,26
81,22,Bihar,Muzaffarpur,14826,1400,12581,6882,4421,765,24,56,3998,1782,3119,119
82,23,Bihar,Nalanda,14647,1146,13205,13073,9294,66,4,226,8141,2056,4631,24
83,24,Bihar,Nawada,2958,439,2427,2027,1082,74,5,13,1392,587,452,36
84,25,Bihar,Paschim Champaran,17155,2913,11943,11428,7443,1347,28,924,6317,2274,3103,67
85,26,Bihar,Patna,34587,8928,21000,16096,9176,4354,53,252,7703,2564,6041,110
86,27,Bihar,Purba Champaran,36602,5233,20296,18054,9380,10766,48,259,5262,1813,9162,82
87,28,Bihar,Purnia,15766,3634,11524,8870,2066,585,17,6,5301,2346,4739,50
88,29,Bihar,Rohtas,15220,3422,11437,8844,3411,265,12,84,6673,2899,2526,36
89,30,Bihar,Saharsa,25756,8247,17320,16142,13114,98,70,21,5301,960,8248,51
90,31,Bihar,Samastipur,4009,1121,2205,1790,1225,568,36,79,1711,57,594,160
91,32,Bihar,Saran,25257,3519,19601,16562,6982,456,36,1645,5400,594,5624,119
92,33,Bihar,Sheikhpura,6955,2240,4702,4176,2955,6,3,4,3101,96,1260,8
93,34,Bihar,Sheohar,2519,357,2142,1859,156,9,5,6,994,0,564,11
94,35,Bihar,Sitamarhi,9278,1435,7436,6630,4113,351,25,31,3954,1557,1975,80
95,36,Bihar,Siwan,7058,2282,3613,3069,681,162,25,976,1758,9,1291,87
96,37,Bihar,Supaul,10093,1511,8340,6542,1685,232,8,2,4531,228,1867,43
97,38,Bihar,Vaishali,15528,8552,6754,5053,2102,134,24,64,3695,83,3536,66
98,1,Chandigarh,Chandigarh,6121,4,6117,6117,0,0,0,0,6117,0,0,4
99,1,Chhattisgarh,Balod,10550,1181,8690,8666,8623,634,14,31,8554,83,83,2
100,2,Chhattisgarh,Baloda Bazar,8526,1062,7167,7035,6928,213,2,82,6913,740,3,2
101,3,Chhattisgarh,Baloudabazar-Bhatapara,7491,486,6375,6333,6154,617,2,11,6187,1236,24,10
102,4,Chhattisgarh,Balrampur,4101,4,3774,3675,3625,301,2,20,3530,462,5,2
103,5,Chhattisgarh,Bastar,6775,1,5419,5294,5105,943,3,409,5162,3433,4,0
104,6,Chhattisgarh,Bemetara,8081,284,6835,6734,6539,687,142,133,6246,28,22,7
105,7,Chhattisgarh,Bijapur,4805,214,3998,3994,3860,572,6,15,3860,1832,0,0
106,8,Chhattisgarh,Bilaspur,30153,1193,23993,23880,22737,4318,18,631,23440,790,31,5
107,9,Chhattisgarh,Dantewada,6877,10,6095,6094,6000,758,14,0,6084,778,9,0
108,10,Chhattisgarh,Dhamtari,13329,156,11394,11374,11224,1493,2,284,11323,872,5,3
109,11,Chhattisgarh,Durg,55126,409,42435,42417,42047,10697,8,1577,42106,2853,48,4
110,12,Chhattisgarh,Gariyaband,5874,184,4571,4571,4567,1113,3,3,4850,3567,27,1
111,13,Chhattisgarh,Janjgir-Champa,25187,2237,21574,21157,20057,937,24,415,20552,883,54,89
112,14,Chhattisgarh,JashpurNagar,6708,19,6408,6378,6295,178,15,88,6242,1001,8,32
113,15,Chhattisgarh,Kabeerdham,8743,729,7495,7459,7360,500,4,15,7337,2375,14,10
114,16,Chhattisgarh,Kondagaon,4970,0,4881,4834,4788,75,14,0,4892,2573,2,3
115,17,Chhattisgarh,Korba,38389,743,28616,28575,28331,4005,2,5023,28456,2657,21,3
116,18,Chhattisgarh,Koria,19818,703,17429,17342,16999,1487,1,198,17145,420,45,1
117,19,Chhattisgarh,Mahasamund,11724,1225,10064,9942,9816,411,1,23,9739,1263,51,2
118,20,Chhattisgarh,Mungeli,5526,15,4391,4391,4361,1115,0,5,4340,86,21,2
119,21,Chhattisgarh,Narayanpur,2979,0,2975,2975,2975,1,0,3,2975,12,0,0
120,22,Chhattisgarh,Raigarh,23608,754,18165,18119,17685,4436,14,239,17384,4473,62,86
121,23,Chhattisgarh,Raipur,44231,1362,33600,32564,30147,8804,41,424,30102,1367,14,9
122,24,Chhattisgarh,Rajnandgaon,25996,463,21172,21138,21055,905,1,3455,21039,13,27,4
123,25,Chhattisgarh,Sarguja,9326,20,8605,8605,8273,339,1,361,8604,4452,7,1
124,26,Chhattisgarh,Sukma,3350,59,3287,3287,3287,4,0,0,3264,220,7,0
125,27,Chhattisgarh,Surajpur,6159,45,5128,5106,5033,711,4,271,4922,2,21,2
126,28,Chhattisgarh,Uttar Bastar kanker,5336,42,4991,4951,4922,282,5,16,4985,357,9,0
127,1,Dadra & Nagar Haveli,Dadara and Nagar Haveli,1668,0,1180,1179,1138,320,0,168,1181,977,0,1
128,1,Daman & Diu,Daman,415,1,294,294,287,10,2,108,296,0,0,0
129,2,Daman & Diu,Diu,729,26,401,401,298,290,0,12,401,3,1,1
130,1,Delhi,All Delhi,49,31,0,0,0,0,2,16,2,0,1,1
131,2,Delhi,Central,14,6,2,1,0,5,1,0,1,0,0,2
132,3,Delhi,East,73,1,26,12,12,46,0,0,13,0,0,2
133,4,Delhi,New Delhi,21,1,0,0,0,18,1,1,0,0,1,6
134,5,Delhi,North,171,0,5,0,0,163,2,1,22,0,13,7
135,6,Delhi,North West,10296,146,305,303,292,9786,26,33,288,0,19,25
136,7,Delhi,South,1138,18,151,151,20,961,4,4,161,149,6,1
137,8,Delhi,South West,2331,29,229,229,228,2052,5,16,231,0,5,17
138,9,Delhi,West,45,2,7,7,7,34,1,1,6,0,1,4
139,1,Goa,North Goa,1334,4,1318,1268,1254,6,1,5,796,761,239,1
140,2,Goa,South Goa,1663,122,1509,1431,1429,17,0,15,677,592,703,1
141,1,Gujarat,Ahmedabad,45614,46,41991,41991,543,1149,7,2421,41998,1515,12,21
142,2,Gujarat,Amreli,24864,1103,20382,20380,3775,153,1,3225,20386,778,0,5
143,3,Gujarat,Anand,35406,36,24357,24347,1168,1206,2,9805,24348,988,0,5
144,4,Gujarat,Aravalli,8838,22,4031,4030,572,963,1,3821,4035,358,2,5
145,5,Gujarat,Banas Kantha,27584,89,19809,19799,1074,0,13,7673,19824,875,2,25
146,6,Gujarat,Bharuch,18212,10,11851,11845,1577,1874,1,4476,11850,247,1,1
147,7,Gujarat,Bhavnagar,34864,95,30512,30506,3085,271,6,3980,30515,2911,2,7
148,8,Gujarat,Botad,12675,8,10468,10463,609,682,0,1517,10464,1601,0,3
149,9,Gujarat,Dahod,15141,39,10066,10066,448,0,3,5033,10069,0,4,20
150,10,Gujarat,Devbhoomi Dwarka,19068,153,14008,14006,843,200,3,4704,14047,730,2,6
151,11,Gujarat,Gandhinagar,24781,16,18157,18157,348,656,2,5950,18159,1049,1,0
152,12,Gujarat,Gir Somnath,23077,1132,16445,16445,995,35,2,5463,16451,1828,0,6
153,13,Gujarat,Jamnagar,31096,19,18949,18948,922,659,2,11467,18952,1288,1,1
154,14,Gujarat,Junagadh,27687,43,19808,19808,1802,200,4,7632,19817,1083,1,3
155,15,Gujarat,Kachchh,33600,28,26394,26378,2004,3087,2,4089,26390,860,1,5
156,16,Gujarat,Kheda,40696,29,32003,32002,1528,738,0,7926,32006,3856,0,193
157,17,Gujarat,Mahesana,19421,13,13098,13098,1542,488,3,5819,13103,1353,0,2
158,18,Gujarat,Mahisagar,5786,127,3818,3818,85,0,3,1838,3832,0,0,8
159,19,Gujarat,Morbi,17304,15,11891,11890,144,1006,2,4390,11894,1098,0,3
160,20,Gujarat,Narmada,4949,9,419,419,17,0,0,4521,420,0,0,1
161,21,Gujarat,Navsari,14801,8,8031,8031,2028,1231,1,5530,8031,0,0,0
162,22,Gujarat,Panch Mahals,16038,23,11527,11526,962,215,3,4270,11533,1169,0,7
163,23,Gujarat,Patan,18454,31,13345,13345,1732,1037,0,4041,13352,668,0,1
164,24,Gujarat,Porbandar,13594,5,7485,7475,486,1484,0,4620,7476,108,0,0
165,25,Gujarat,Rajkot,49307,35,40678,40674,3282,4855,2,3737,40637,1417,1,3
166,26,Gujarat,Sabar Kantha,10550,38,7263,7263,1328,0,1,3248,7267,807,3,8
167,27,Gujarat,Surat,15291,33,12799,12792,2847,1336,1,1122,12798,253,1,9
168,28,Gujarat,Surendranagar Dudhrej,21085,35,18060,18058,312,622,0,2368,18065,2144,1,7
169,29,Gujarat,Tapi,4689,7,3473,3473,427,780,0,429,3475,1356,0,2
170,30,Gujarat,The Dangs,0,0,0,0,0,0,0,0,0,0,0,0
171,31,Gujarat,Vadodara,28978,42,25266,25266,639,174,0,3496,24940,1746,3,11
172,32,Gujarat,Valsad,20846,25,20652,20652,2679,115,1,53,20653,670,0,6
173,1,Haryana,Ambala,7780,130,5216,5193,5104,2117,6,311,5179,1221,3,2
174,2,Haryana,Bhiwani,4709,1229,2134,2134,2117,1332,6,8,2162,0,9,12
175,3,Haryana,Faridabad,21933,5525,14297,14297,13910,2075,28,8,13130,0,85,31
176,4,Haryana,Fatehabad,749,88,318,316,316,335,5,3,317,0,0,6
177,5,Haryana,Gurgaon,8522,551,7288,7271,7253,656,3,24,6608,818,23,4
178,6,Haryana,Hisar,8742,2417,2985,2961,2790,3250,4,86,2989,0,16,75
179,7,Haryana,Jhajjar,2115,34,1110,1108,1108,790,3,178,1068,33,38,5
180,8,Haryana,Jind,2506,152,1060,1058,1056,1283,7,4,1036,1,37,5
181,9,Haryana,Kaithal,4376,219,3056,2998,2941,942,5,154,2984,4,7,4
182,10,Haryana,Karnal,11431,784,7892,7619,7515,2659,6,90,7557,1,141,59
183,11,Haryana,Kurushetra,566,36,215,207,207,302,4,9,214,54,3,19
184,12,Haryana,Mahendragarh,2925,695,1478,1469,1453,732,11,9,1176,433,45,15
185,13,Haryana,Mewat,2593,384,1166,1166,1125,983,11,49,1193,0,29,34
186,14,Haryana,Palwal,4679,663,1464,1460,1459,2384,16,152,1387,0,104,39
187,15,Haryana,Panchkula,9422,214,2906,2199,2188,1042,37,5223,3027,0,5,5
188,16,Haryana,Panipat,3818,644,3087,1988,1859,49,8,30,1843,0,27,10
189,17,Haryana,Rewari,1105,174,766,765,765,138,8,19,723,0,2,8
190,18,Haryana,Rohtak,7537,131,3360,3341,3339,3559,3,484,3304,1,13,5
191,19,Haryana,Sirsa,4166,2562,137,134,133,1463,4,0,161,48,8,15
192,20,Haryana,Sonipat,7236,826,3097,3034,2977,3254,9,50,3605,0,99,9
193,21,Haryana,Yamunanagar,5286,120,3575,3026,2993,966,2,623,3092,1,5,1
194,1,Himachal Pradesh,Bilaspur,313,9,278,278,272,16,0,10,215,201,47,0
195,2,Himachal Pradesh,Chamba,341,10,256,252,251,71,0,4,229,1,10,3
196,3,Himachal Pradesh,Hamirpur,480,19,325,319,228,132,1,3,282,271,1,3
197,4,Himachal Pradesh,Kangra,3884,938,1768,1483,1434,888,7,283,1361,367,107,6
198,5,Himachal Pradesh,Kullu,273,30,197,197,194,41,0,5,125,98,9,4
199,6,Himachal Pradesh,Mandi,910,289,514,425,415,69,0,38,304,72,35,4
200,7,Himachal Pradesh,Shimla,622,11,365,362,349,241,1,4,356,183,2,10
201,8,Himachal Pradesh,Sirmaur,827,42,723,720,681,53,3,6,681,369,13,2
202,9,Himachal Pradesh,Solan,352,6,207,196,193,76,1,62,173,94,6,0
203,10,Himachal Pradesh,Una,1393,143,1087,927,865,158,2,3,756,563,1,1
204,1,Jammu & Kashmir,Anantnag,10106,1044,5248,4642,2614,2747,6,1061,4292,0,78,6
205,2,Jammu & Kashmir,Badgam,3632,133,2177,1975,339,933,1,388,1888,198,0,5
206,3,Jammu & Kashmir,Bandipore,7829,625,5799,4491,1336,746,2,657,4418,1,50,0
207,4,Jammu & Kashmir,Baramula,11409,1470,4245,4044,985,3806,3,1885,4057,140,16,1
208,5,Jammu & Kashmir,Doda,1511,343,681,681,323,272,0,215,787,0,1,0
209,6,Jammu & Kashmir,Ganderbal,617,54,381,344,79,57,0,125,295,0,10,0
210,7,Jammu & Kashmir,Jammu,16494,198,7653,6806,2413,5665,0,2978,5854,192,34,6
211,8,Jammu & Kashmir,Kargil,1035,40,958,404,7,37,0,0,402,0,0,0
212,9,Jammu & Kashmir,Kathua,5160,181,2960,2813,326,1246,2,771,2603,169,146,3
213,10,Jammu & Kashmir,Kishtwar,858,2,587,587,202,223,0,46,548,0,0,0
214,11,Jammu & Kashmir,Kulgam,4436,352,2324,2311,1792,966,5,789,2222,32,8,2
215,12,Jammu & Kashmir,Kupwara,3190,493,2114,2028,1285,350,0,233,1896,91,42,9
216,13,Jammu & Kashmir,Leh,0,0,0,0,0,0,0,0,0,0,0,0
217,14,Jammu & Kashmir,Pulwama,3536,124,2075,2001,579,951,11,375,1950,21,12,10
218,15,Jammu & Kashmir,Punch,1561,17,796,747,25,355,0,393,672,12,62,3
219,16,Jammu & Kashmir,Rajouri,3358,130,2497,1830,306,308,0,423,1703,342,4,6
220,17,Jammu & Kashmir,Ramban,779,2,377,369,292,233,1,166,367,0,8,15
221,18,Jammu & Kashmir,Reasi,745,41,366,360,146,21,0,317,361,45,3,0
222,19,Jammu & Kashmir,Samba,2590,575,1648,1619,1159,29,0,338,1484,0,65,13
223,20,Jammu & Kashmir,Shupiyan,1133,448,498,498,479,150,1,36,499,0,2,0
224,21,Jammu & Kashmir,Srinagar,26399,2257,7382,6774,758,14610,13,2137,3113,0,11,3
225,22,Jammu & Kashmir,Udhampur,1987,544,1177,1141,465,205,1,60,1399,0,5,0
226,1,Jharkhand,Bokaro,12322,18,10198,10198,9985,1137,2,967,10192,9566,10,5
227,2,Jharkhand,Chatra,3286,35,2855,2855,2855,8,0,388,2857,2291,0,42
228,3,Jharkhand,Deoghar,16027,30,14207,14207,13663,969,7,814,14220,5222,4,12
229,4,Jharkhand,Dhanbad,72931,3222,46251,46169,45258,2873,30,20555,47693,45755,14,95
230,5,Jharkhand,Dumka,4124,11,3623,3616,3593,275,4,211,3612,204,1,3
231,6,Jharkhand,Garhwa,9030,16,7957,7953,7115,478,9,570,7961,7362,2,1
232,7,Jharkhand,Giridih,2939,27,2239,2239,2218,86,2,585,2239,247,2,4
233,8,Jharkhand,Godda,2491,36,2271,2271,2268,79,3,102,2273,2154,7,8
234,9,Jharkhand,Gumla,2926,0,2780,2780,2766,125,1,20,2788,2768,0,0
235,10,Jharkhand,Hazaribag,3949,29,2712,2712,2705,796,3,409,2729,2699,5,5
236,11,Jharkhand,Jamtara,4715,5,3796,3796,3786,162,0,752,3798,3745,1,1
237,12,Jharkhand,Khunti,2346,3,2218,2218,2209,1,1,123,2221,1632,0,2
238,13,Jharkhand,Kodarma,7961,29,7427,7427,7329,94,2,409,7429,4311,1,0
239,14,Jharkhand,Latehar,1780,1,1689,1689,1565,69,0,21,1715,1137,0,10
240,15,Jharkhand,Lohardaga,2299,0,2028,2028,2017,51,1,219,2028,165,0,0
241,16,Jharkhand,Pakaur,2653,2,2387,2387,2387,203,0,61,2387,325,0,2
242,17,Jharkhand,Palamu,12109,133,9928,9928,9036,1333,7,708,10073,4607,5,19
243,18,Jharkhand,Paschimi Sighbhum,5570,15,5182,5182,5182,320,2,51,5173,1537,3,1
244,19,Jharkhand,Purbi Singhbhum,23308,56,20663,20663,19388,2159,3,427,20710,11481,19,18
245,20,Jharkhand,Ramgarh,16015,106,13589,12556,12548,653,3,1664,12572,2003,2,3
246,21,Jharkhand,Ranchi,40834,238,34057,34057,32315,2514,5,4020,34101,11707,1,8
247,22,Jharkhand,Sahibganj,9515,2,8113,8113,7738,982,1,417,8124,6497,0,4
248,23,Jharkhand,Seraikela,7667,32,7333,7333,7161,93,2,207,7334,873,0,3
249,24,Jharkhand,Simdega,2143,3,2014,2014,1984,24,1,101,2014,3,3,1
250,1,Karnataka,Bagalkot,20296,1692,15237,13606,12676,1449,6,1912,12119,3362,869,1
251,2,Karnataka,Bangalore Rural,3406,29,2718,2711,2481,275,3,381,2436,566,58,0
252,3,Karnataka,Bangalore Urban,5235,193,3653,3617,3593,1358,3,28,2465,1041,190,0
253,4,Karnataka,Belgaum,23286,1142,16978,16516,15273,2267,18,2881,12386,3613,675,0
254,5,Karnataka,Bellary,44226,1892,37786,35639,31579,2748,2,1798,29609,14462,779,0
255,6,Karnataka,Bidar,19303,2561,14518,12775,11854,2198,14,12,8708,4432,388,0
256,7,Karnataka,Bijapur,28431,165,23352,19523,17209,3460,15,1439,16038,4624,347,0
257,8,Karnataka,Chamarajanagar,7154,5,5458,5441,5271,309,0,1382,4945,0,204,0
258,9,Karnataka,Chikkaballapura,8057,434,6146,5884,4470,520,1,956,5455,23,329,0
259,10,Karnataka,Chikmagalur,2720,65,1708,1708,1652,215,3,729,1735,179,11,0
260,11,Karnataka,Chitradurga,16017,395,11572,11542,11353,1473,5,2572,10379,2428,422,0
261,12,Karnataka,Dakshin Kannada,1269,16,979,976,949,44,0,230,967,797,2,0
262,13,Karnataka,Davanagere,15686,313,8958,8502,6102,5285,0,1130,8462,3948,24,0
263,14,Karnataka,Gadag-Betigeri,34504,206,21008,20831,18085,3477,8,9805,19407,263,265,0
264,15,Karnataka,Gulbarga,28632,1517,17856,17010,15509,6395,22,2842,15799,8949,153,0
265,16,Karnataka,Hassan,2502,56,2040,2020,1962,61,1,344,2002,0,4,0
266,17,Karnataka,Haveri,15921,1141,13834,13665,12242,628,8,310,13015,5830,491,0
267,18,Karnataka,Hubli-Dharwad,31027,170,26496,26436,25019,176,3,4182,22405,2555,1517,0
268,19,Karnataka,Kodagu,624,7,571,571,527,45,0,1,506,265,18,0
269,20,Karnataka,Kolar,15882,2751,10650,10650,8787,1480,9,992,9479,25,643,0
270,21,Karnataka,Koppal,18640,459,16378,15408,12040,915,4,884,8898,323,602,0
271,22,Karnataka,Mandya,4276,24,3059,3043,2836,307,5,881,2970,291,45,0
272,23,Karnataka,Mysore,8905,50,7439,7428,7386,575,1,840,7116,401,96,0
273,24,Karnataka,Raichur,39778,1673,21195,20270,15896,4338,11,12561,19773,10489,316,0
274,25,Karnataka,Ramanagara,5095,46,4414,4414,4331,203,0,432,4385,913,6,0
275,26,Karnataka,Shimoga,9937,22,6585,6365,5689,2065,1,1264,6070,1939,260,0
276,27,Karnataka,Tumkur,15213,110,9358,9330,7922,2100,1,3644,8649,941,171,0
277,28,Karnataka,Udupi,571,9,451,422,422,48,0,63,433,155,6,0
278,29,Karnataka,Uttara Kannada,9539,72,8550,8327,7526,526,0,391,7128,1286,303,0
279,30,Karnataka,Yadgir,15703,2759,11896,10516,8723,547,14,487,8995,1892,249,0
280,1,Kerala,Alappuzha,4016,1568,2116,2096,1749,279,0,53,1917,1140,23,3
281,2,Kerala,Ernakulam,7242,2708,3684,3022,2666,846,3,1,2209,1682,153,1
282,3,Kerala,Idukki,560,21,441,441,415,2,0,96,431,259,0,0
283,4,Kerala,Kannur,1403,101,1181,1177,937,108,0,13,1128,1105,2,1
284,5,Kerala,Kasaragod,862,59,764,574,556,18,0,21,596,12,58,0
285,6,Kerala,Kollam,6308,514,3405,3294,2514,2348,0,41,2503,825,426,23
286,7,Kerala,Kottayam,3252,1741,1378,1327,1120,123,2,8,1395,996,39,182
287,8,Kerala,Kozhikode,3110,338,2648,2523,2420,117,0,7,1893,1259,78,26
288,9,Kerala,Malappuram,4200,392,2431,2129,1956,1102,6,269,2050,1996,5,5
289,10,Kerala,Palakkad,2923,752,1249,949,830,887,4,31,790,591,14,43
290,11,Kerala,Pathanamthitta,1628,64,1542,1496,1376,21,0,1,954,285,7,0
291,12,Kerala,Thiruvananthapuram,7106,191,6303,6119,5237,389,17,206,5528,5272,53,72
292,13,Kerala,Thrissur,3997,933,2775,1403,1280,276,1,12,983,294,117,0
293,14,Kerala,Waynad,904,13,865,844,788,7,1,18,732,414,8,0
294,1,Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
295,1,Madhya Pradesh,Agar Malwa,5157,731,3819,3768,2936,570,3,34,3363,103,38,1
296,2,Madhya Pradesh,Alirajpur,2586,438,1126,1049,579,1022,0,0,909,734,3,0
297,3,Madhya Pradesh,Anuppur,10924,2427,7366,6680,5060,1121,5,5,6451,2033,29,1
298,4,Madhya Pradesh,Ashoknagar,16187,4624,7882,6208,4082,3668,6,7,7540,818,233,11
