,SNO,State,District,ulb,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
2,2,Maharashtra,Yavatmal ,Babhulgaon (NP),474,2,471,471,467,1,0,0,454,442,10,1
4,3,Maharashtra,Yavatmal ,Darwha (M Cl),1900,424,1304,1235,1050,16,2,154,1126,0,6,0
6,4,Maharashtra,Yavatmal ,Digras (M Cl),4188,0,3279,3261,2863,900,0,9,2635,0,242,0
8,5,Maharashtra,Yavatmal ,Ghatanji (M Cl),2212,108,2080,2080,1942,23,1,0,1415,0,102,0
10,6,Maharashtra,Yavatmal ,Kalamb (NP),994,3,991,823,808,0,0,0,823,0,0,0
12,7,Maharashtra,Yavatmal ,Mahagaon (NP),932,11,866,864,858,54,1,0,856,2,0,0
14,8,Maharashtra,Yavatmal ,Maregaon (NP),518,2,516,516,512,0,0,0,471,0,2,5
16,9,Maharashtra,Yavatmal ,Ner (M Cl),1948,5,1527,1520,937,416,0,0,1431,7,2,0
18,10,Maharashtra,Yavatmal ,Pandharkaoda (M Cl),2372,11,2187,2004,1990,158,0,16,1775,0,100,0
20,11,Maharashtra,Yavatmal ,Pusad (M Cl),3962,1040,2882,2876,2555,29,10,1,2298,779,0,3
22,12,Maharashtra,Yavatmal ,Ralegaon (NP),1079,1,1070,1069,1062,7,1,0,1060,0,1,0
24,13,Maharashtra,Yavatmal ,Umarkhed (M Cl),2725,25,2402,2185,1662,297,0,1,1977,1,53,0
26,14,Maharashtra,Yavatmal ,Wani (M Cl),2038,0,1954,1890,1670,84,0,0,1856,6,2,3
28,15,Maharashtra,Yavatmal ,Yavatmal (M Cl),6915,5,6618,6572,6408,289,3,0,4005,0,32,2
30,16,Maharashtra,Yavatmal ,Zari (NP),123,2,119,119,74,2,0,0,108,0,2,0
0,1,Manipur ,Bishnupur ,Bishnupur (MC),778,55,693,673,519,29,1,0,625,158,15,0
2,2,Manipur ,Bishnupur ,Kumbi (MC),1831,208,1573,1538,1525,48,0,2,1193,558,5,0
4,3,Manipur ,Bishnupur ,Kwakta (MC),1489,46,984,984,982,21,0,438,932,253,4,2
6,4,Manipur ,Bishnupur ,Moirang (MC),1344,559,783,417,413,1,0,1,391,155,1,0
8,5,Manipur ,Bishnupur ,Nambol-Bishnupur (MC),1467,689,730,729,697,46,2,0,563,0,71,0
10,6,Manipur ,Bishnupur ,Ningthoukhong (MC),1181,407,769,551,503,2,1,2,542,2,33,0
12,7,Manipur ,Bishnupur ,Oinam (MC),253,0,252,252,238,1,0,0,232,224,3,0
0,1,Manipur ,Chandel,Moreh (ST),0,0,0,0,0,0,0,0,0,0,0,0
0,1,Manipur ,Imphal East,Andro (NP),495,192,301,217,200,2,0,0,116,116,0,4
2,2,Manipur ,Imphal East,Imphal (M Corp),8327,1994,6301,5158,3283,30,2,0,3753,0,23,0
4,3,Manipur ,Imphal East,Jiribam (MC),179,20,158,112,69,1,0,0,47,0,60,0
6,4,Manipur ,Imphal East,Lamlai (MC),881,72,696,662,659,103,0,10,563,553,43,0
0,1,Manipur ,Imphal west,Lamsang (NP),175,123,46,41,41,5,1,0,40,0,49,1
2,2,Manipur ,Imphal west,Lilong (Imphal West) (NP),1069,563,476,403,400,25,1,4,366,149,9,0
4,3,Manipur ,Imphal west,Mayang Imphal (MC),1886,375,1422,945,942,87,1,1,205,47,57,0
6,4,Manipur ,Imphal west,Nambol (MC),461,210,241,203,195,8,2,0,66,0,33,0
8,5,Manipur ,Imphal west,Samurou (MC),1580,10,1508,1489,1489,62,0,0,1364,1050,2,1
10,6,Manipur ,Imphal west,Sekmai Bazar (NP),278,0,274,272,272,3,1,0,115,114,29,0
12,7,Manipur ,Imphal west,Thongkhong Laxmi Bazar (MC),2243,357,1827,1583,1583,53,4,2,1514,773,87,59
14,8,Manipur ,Imphal west,Wangoi (MC),1297,403,864,715,632,30,0,0,453,49,61,0
0,1,Manipur ,Thoubal ,Heirok (NP),264,84,174,166,164,6,0,0,121,34,29,0
2,2,Manipur ,Thoubal ,Kakching (MC),578,29,547,545,535,2,0,0,246,245,28,0
4,3,Manipur ,Thoubal ,Kakching Khunou (MC),1132,616,513,398,278,0,3,0,440,19,8,0
6,4,Manipur ,Thoubal ,Lilong (Thoubal) (MC),2754,763,1982,1182,1182,8,1,0,1878,0,432,1
8,5,Manipur ,Thoubal ,Sikhong Sekmai (MC),1156,1,984,935,911,171,0,0,713,541,10,3
10,6,Manipur ,Thoubal ,Sugnu (MC),388,1,280,271,146,107,0,0,176,146,0,8
12,7,Manipur ,Thoubal ,Thoubal (MC),4069,1829,2228,1822,1285,7,4,1,720,225,306,1
14,8,Manipur ,Thoubal ,Wangjing (MC),2043,417,1603,1525,1516,21,0,2,1553,0,68,0
16,9,Manipur ,Thoubal ,Yairipok (MC),1343,9,1249,675,642,82,2,1,554,227,1,4
0,1,Meghalaya,East Garo Hills,Resubelpara (MB),1,1,0,0,0,0,0,0,0,0,0,2
2,2,Meghalaya,East Garo Hills,Williamnagar (MB),22,22,0,0,0,0,0,0,1,0,0,0
0,1,Meghalaya,East Khasi Hills,Shillong (CB),0,0,0,0,0,0,0,0,0,0,0,0
2,2,Meghalaya,East Khasi Hills,Shillong (MB),1,1,0,0,0,0,0,0,0,0,1,0
0,1,Meghalaya,Jaintia Hills,Jowai (M),5,5,0,0,0,0,0,0,0,0,1,0
0,1,Meghalaya,Ribhoi,Nongpoh (TC),2,2,0,0,0,0,0,0,0,0,0,1
0,1,Meghalaya,South Garo Hills,Baghmara (MB),2,2,0,0,0,0,0,0,0,0,0,0
0,1,Meghalaya,west Garo Hills,Tura (M),2156,1933,167,97,0,55,1,0,2,0,38,3
0,1,Meghalaya,West Khasi Hills,Mairang (TC),23,23,0,0,0,0,0,0,0,0,0,0
2,2,Meghalaya,West Khasi Hills,Nongstoin (TC),2,2,0,0,0,0,0,0,0,0,0,0
0,1,Mizoram,Aizawl ,Aizawl (NT),278,4,268,268,0,6,0,0,271,31,1,0
2,2,Mizoram,Aizawl ,Darlawn (NT),141,0,141,141,141,0,0,0,141,141,0,0
4,3,Mizoram,Aizawl ,Sairang (NT),141,0,140,140,140,0,0,1,140,140,0,0
6,4,Mizoram,Aizawl ,Saitual (NT),40,0,40,40,40,0,0,0,40,28,0,0
0,1,Mizoram,Champhai ,Biate (NT),20,0,20,20,20,0,0,0,20,20,0,0
2,2,Mizoram,Champhai ,Champhai (NT),323,0,322,322,322,0,0,1,322,288,0,0
4,3,Mizoram,Champhai ,Khawhai (NT),0,0,0,0,0,0,0,0,0,0,0,0
6,4,Mizoram,Champhai ,Khawzawl (NT),21,0,21,21,21,0,0,0,21,21,0,0
0,1,Mizoram,Kolasib,Bairabi (NT),36,0,36,36,36,0,0,0,36,36,0,0
2,2,Mizoram,Kolasib,Kolasib (NT),298,0,297,229,229,0,0,1,163,116,62,0
4,3,Mizoram,Kolasib,N. Kawnpui (NT),21,0,21,21,21,0,0,0,11,0,9,0
6,4,Mizoram,Kolasib,Vairengte (NT),20,0,20,20,20,0,0,0,20,20,0,0
0,1,Mizoram,Lawngtlai       ,Lawngtlai (NT),324,1,323,323,316,0,0,0,323,322,0,0
0,1,Mizoram,Lunglei ,Hnahthial (NT),46,0,46,46,46,0,0,0,46,39,0,0
2,2,Mizoram,Lunglei ,Lunglei (NT),104,2,101,100,100,0,1,0,95,75,0,0
4,3,Mizoram,Lunglei ,Tlabung (NT),155,0,155,155,155,0,0,0,155,155,0,1
0,1,Mizoram,Mamit,Lengpui (NT),58,0,58,58,58,0,0,0,58,50,0,0
2,2,Mizoram,Mamit,Mamit (NT),54,19,30,30,30,5,0,0,29,29,0,0
4,3,Mizoram,Mamit,Zawlnuam (NT),115,0,115,115,115,0,0,0,115,115,0,0
0,1,Mizoram,Saiha ,Saiha (NT),33,0,33,33,33,0,0,0,33,31,0,0
0,1,Mizoram,Serchhip ,North Vanlaiphai (NT),23,0,23,23,23,0,0,0,15,10,0,0
2,2,Mizoram,Serchhip ,Serchhip (NT),298,0,180,180,180,0,0,118,180,180,0,0
4,3,Mizoram,Serchhip ,Thenzawl (NT),133,0,115,115,115,18,0,0,116,56,0,0
0,1,Nagaland,Dimapur,Chumukedima (TC),5951,5691,23,9,7,235,2,0,24,0,0,0
2,2,Nagaland,Dimapur,Dimapur (MC),12421,12390,7,0,0,0,8,16,16,0,5,0
4,3,Nagaland,Dimapur,Medziphema (TC),346,265,79,79,79,1,1,0,3,0,0,0
0,1,Nagaland,Kiphire ,Kiphire (TC),592,291,300,300,0,1,0,0,112,0,0,0
0,1,Nagaland,Kohima ,Kohima (MC),340,339,0,0,0,0,1,0,1,0,1,0
2,2,Nagaland,Kohima ,Tseminyu (TC),170,61,107,97,97,2,0,0,97,0,1,0
0,1,Nagaland,Longleng ,Longleng (TC),802,660,142,141,138,0,0,0,141,140,0,0
0,1,Nagaland,Mokokchung ,Changtongya (TC),168,44,123,21,21,1,0,0,130,0,0,0
2,2,Nagaland,Mokokchung ,Mokokchung (MC),1079,419,648,365,78,8,3,1,460,1,1,0
4,3,Nagaland,Mokokchung ,Tuli (TC),180,148,32,18,18,0,0,0,17,0,1,0
0,1,Nagaland,Mon ,Aboi,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Nagaland,Mon ,Mon (TC),565,335,230,119,4,0,0,0,206,0,0,0
4,3,Nagaland,Mon ,Naginimora (TC),33,33,0,0,0,0,0,0,0,0,0,0
0,1,Nagaland,Peren ,Jalukie (TC),289,138,132,98,66,19,0,0,93,0,1,0
2,2,Nagaland,Peren ,Peren (TC),83,83,0,0,0,0,0,0,1,0,0,0
0,1,Nagaland,Phek ,Meluri,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Nagaland,Phek ,Pfutsero (TC),132,132,0,0,0,0,0,0,2,0,1,0
4,3,Nagaland,Phek ,Phek (TC),246,246,0,0,0,0,0,0,17,0,3,0
0,1,Nagaland,Tuensang ,Noklak,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Nagaland,Tuensang ,Shamator,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Nagaland,Tuensang ,Tuensang (TC),1665,1665,0,0,0,0,0,0,1,0,0,0
0,1,Nagaland,Wokha ,Wokha (TC),936,288,647,646,646,1,0,0,650,646,0,0
0,1,Nagaland,Zunheboto ,Zunheboto (TC),1241,1240,0,0,0,0,1,0,1,0,0,0
0,1,Odisha,Angul ,Angul (M),1850,103,1257,1242,1122,278,0,212,592,580,27,2
2,2,Odisha,Angul ,Athmallik (NAC),1068,390,623,612,439,5,1,49,356,0,2,0
4,3,Odisha,Angul ,Talcher (M),2337,55,2037,1998,1949,57,1,187,1011,874,12,2
0,1,Odisha,Balangir ,Balangir (M),4040,1135,2549,2153,2101,63,1,292,1155,1136,5,2
2,2,Odisha,Balangir ,Kantabanji (NAC),962,7,879,879,204,22,1,53,354,350,1,2
4,3,Odisha,Balangir ,Patnagarh (NAC),1445,76,1220,1196,1160,125,3,21,663,656,0,2
6,4,Odisha,Balangir ,Titilagarh (M),1272,63,785,785,712,51,1,372,258,97,8,2
8,5,Odisha,Balangir ,Tusura NAC,982,133,700,634,273,22,0,127,464,453,0,0
0,1,Odisha,Balasore ,Balasore (M),3299,9,1656,1655,1148,229,1,1404,1357,1352,11,7
2,2,Odisha,Balasore ,Jaleshwar (M),2874,635,2054,2054,1897,148,5,32,749,0,0,3
4,3,Odisha,Balasore ,Nilagiri (NAC),2328,11,1764,1728,1559,43,0,510,1216,1202,1,0
6,4,Odisha,Balasore ,Remuna (NAC),0,0,0,0,0,0,0,0,0,0,0,0
8,5,Odisha,Balasore ,Soro (M),3929,231,3141,3119,2303,528,0,29,1601,1585,3,1
0,1,Odisha,Bargarh ,Attabira NAC,1654,1,1628,1628,1380,21,0,4,520,519,4,0
2,2,Odisha,Bargarh ,Bargarh (M),2731,1,2181,2180,1677,93,3,453,1036,989,2,1
4,3,Odisha,Bargarh ,Barpali (NAC),1739,15,1622,1620,1332,64,5,33,630,594,1,1
6,4,Odisha,Bargarh ,Bijepur (NAC),1,1,0,0,0,0,0,0,0,0,0,3
8,5,Odisha,Bargarh ,Padmapur NAC,1159,68,939,875,871,115,0,37,312,269,0,4
0,1,Odisha,Bhadrak ,Basudebpur (M),4222,1,2428,2422,2082,62,0,1731,1783,749,117,3
2,2,Odisha,Bhadrak ,Bhadrak (M),6081,294,5389,4902,2035,34,1,363,4139,85,0,4
4,3,Odisha,Bhadrak ,Chandbali (NAC),2209,23,2184,2181,2181,0,1,1,267,1,9,2
6,4,Odisha,Bhadrak ,Dhamanagar (NAC),0,0,0,0,0,0,0,0,0,0,0,0
8,5,Odisha,Bhadrak ,Dhamnagar (NAC),0,0,0,0,0,0,0,0,0,0,0,0
0,1,Odisha,Boudh,Boudhgarh (NAC),3527,2,872,872,639,2005,2,646,779,757,1,0
0,1,Odisha,Cuttack ,Athagad (NAC),1585,108,1466,1466,623,9,1,1,669,661,140,0
2,2,Odisha,Cuttack ,Banki (NAC),2585,0,1741,1741,1647,32,0,812,1633,1103,4,0
4,3,Odisha,Cuttack ,Choudwar (M),3407,88,2173,2173,1690,97,2,1047,1827,1604,11,1
6,4,Odisha,Cuttack ,Cuttack (MC),10433,2,9453,8822,6437,60,6,912,5320,4196,41,8
0,1,Odisha,Deogarh,Deogarh (M),3394,287,2666,2001,1240,7,1,433,1808,79,6,1
0,1,Odisha,Dhenkanal ,Bhuban (NAC),2413,30,2173,1786,1531,40,2,168,592,0,40,1
2,2,Odisha,Dhenkanal ,Dhenkanal (M),6346,605,5040,4887,4293,584,0,117,3249,2904,2,5
4,3,Odisha,Dhenkanal ,Hindol NAC,1636,84,709,636,615,35,0,808,420,412,2,5
6,4,Odisha,Dhenkanal ,Kamakshyanagar (NAC),2363,757,1528,947,356,56,0,22,895,310,0,1
0,1,Odisha,Gajapati,Kashinagar (NAC),1652,1,1104,767,539,15,1,531,763,534,0,0
2,2,Odisha,Gajapati,Paralakhemundi (M),1648,49,1283,1276,1210,6,0,310,1066,0,0,2
0,1,Odisha,Ganjam ,Asika (NAC),668,7,321,321,281,0,0,340,81,0,0,1
2,2,Odisha,Ganjam ,Bellaguntha (NAC),1068,6,614,614,66,0,0,448,507,0,0,0
4,3,Odisha,Ganjam ,Berhmapur (MC),4603,290,3105,1709,425,161,0,1047,1500,1110,1,6
6,4,Odisha,Ganjam ,Bhanjanagar NAC,642,0,531,530,357,22,0,89,310,0,0,0
8,5,Odisha,Ganjam ,Buguda (NAC),834,36,797,797,774,1,0,0,409,0,0,0
10,6,Odisha,Ganjam ,Chhatrapur (NAC),675,6,297,297,164,6,0,366,270,266,0,1
12,7,Odisha,Ganjam ,Chikiti (NAC),924,2,639,637,613,20,1,262,540,304,7,0
14,8,Odisha,Ganjam ,Digapahandi (NAC),853,16,735,735,147,0,0,102,163,158,2,5
16,9,Odisha,Ganjam ,Ganjam (NAC),981,226,506,167,22,12,0,237,167,0,0,0
18,10,Odisha,Ganjam ,Gopalpur (NAC),396,0,295,280,262,1,0,100,132,132,3,0
20,11,Odisha,Ganjam ,Hinjilicut (NAC),1760,62,1506,1500,1134,21,0,171,676,674,7,0
22,12,Odisha,Ganjam ,Kabisurjyanagar (NAC),1376,81,794,794,506,6,1,494,579,171,0,0
24,13,Odisha,Ganjam ,Khalikote (NAC),905,0,473,473,269,57,1,374,426,1,0,1
26,14,Odisha,Ganjam ,Kodala (NAC),984,2,364,364,364,14,0,604,276,0,1,1
28,15,Odisha,Ganjam ,Polasara (NAC),1705,0,676,676,557,30,0,999,666,35,0,0
30,16,Odisha,Ganjam ,Purusottampur (NAC),1848,31,1181,1166,663,25,10,601,1053,743,0,0
32,17,Odisha,Ganjam ,Rambha (NAC),1016,113,256,246,50,215,0,432,207,0,55,0
34,18,Odisha,Ganjam ,Surada (NAC),802,1,621,621,432,149,0,31,321,305,0,0
0,1,Odisha,Jagatsinghpur ,Jagatsinghpur (M),3157,195,1821,1803,1453,15,3,1123,992,0,6,4
2,2,Odisha,Jagatsinghpur ,Paradeep (M),5764,2,2552,2552,1949,44,0,3166,2370,21,7,0
0,1,Odisha,Jajpur ,Byasanagar (M),3054,557,1182,1165,661,6,5,1304,1103,0,0,10
2,2,Odisha,Jajpur ,Jajpur (M),1185,318,494,489,457,72,4,297,492,0,4,9
0,1,Odisha,Jharsuguda ,Belpahar (M),2853,75,1933,1211,924,18,0,827,990,146,17,1
2,2,Odisha,Jharsuguda ,Brajarajnagar (M),6831,141,4937,4904,1367,66,1,1686,4127,94,99,8
4,3,Odisha,Jharsuguda ,Jharsuguda (M),5874,198,3076,2604,2379,11,1,2588,2063,1998,0,0
0,1,Odisha,Kalahandi,Bhawanipatna (M),3706,1,2806,2804,536,59,1,839,700,106,24,4
2,2,Odisha,Kalahandi,Dharmagarh NAC,809,69,627,565,493,12,1,100,194,160,4,1
4,3,Odisha,Kalahandi,Junagarh (NAC),1460,2,1162,1162,1046,0,0,296,721,708,3,2
6,4,Odisha,Kalahandi,Kesinga (NAC),1686,22,1260,1258,426,69,1,334,679,655,0,2
0,1,Odisha,Kandhamal,BALLIGUDA NAC,1730,158,750,750,300,26,0,796,581,0,5,0
2,2,Odisha,Kandhamal,G. Udayagiri (NAC),1144,2,546,537,302,7,0,589,448,170,5,1
4,3,Odisha,Kandhamal,Phulabani (M),3060,1,2116,2116,1011,57,0,886,1699,0,45,1
0,1,Odisha,Kendrapara ,Kendrapara (M),3320,368,2694,2671,2350,23,7,228,1964,1877,3,2
2,2,Odisha,Kendrapara ,Pattamundai (M),3515,117,1979,1596,1585,70,0,1349,1631,120,1,1
0,1,Odisha,Kendujhar ,Anandpur (M),3741,219,3513,3382,2579,7,2,0,1173,1078,7,1
2,2,Odisha,Kendujhar ,Barbil (M),4027,112,1984,1984,1783,13,0,1918,1839,1784,15,1
4,3,Odisha,Kendujhar ,Champua NAC,1905,88,752,752,632,26,2,1037,752,277,1,2
6,4,Odisha,Kendujhar ,Joda (M ),4136,195,1475,1394,1185,278,3,2185,1363,305,0,4
8,5,Odisha,Kendujhar ,Keonjhargarh (M),2461,0,1155,1155,509,120,1,1185,793,347,2,1
0,1,Odisha,Khordha ,Balugaon (NAC),859,49,537,537,258,5,0,268,285,218,2,0
2,2,Odisha,Khordha ,Banpur (NAC),890,67,678,597,496,0,0,145,265,1,21,1
4,3,Odisha,Khordha ,Bhubaneswar (MC),31849,33,12893,12885,5740,9172,2,9749,11819,5265,215,3
6,4,Odisha,Khordha ,Jatani (M),2121,214,1430,1427,667,24,2,451,821,336,2,1
8,5,Odisha,Khordha ,Khordha (M),3127,13,2418,2417,1948,5,0,691,1959,1954,0,2
0,1,Odisha,Koraput ,Jeypore (M),2129,97,536,512,480,71,2,1423,345,0,11,0
2,2,Odisha,Koraput ,Koraput (M),2559,256,785,742,353,7,2,1509,723,20,2,0
4,3,Odisha,Koraput ,Kotpad (NAC),1734,0,708,707,533,100,0,926,563,562,0,0
6,4,Odisha,Koraput ,Sunabeda (M),3066,19,989,977,254,8,0,2050,680,561,5,0
0,1,Odisha,Malkangiri ,Balimela (NAC),1155,1,686,519,31,8,0,460,444,56,0,0
2,2,Odisha,Malkangiri ,Malkangiri (M),1462,28,1427,1427,1043,2,1,4,482,0,1,1
0,1,Odisha,Mayurbhanj,Baripada (M),7045,0,6988,6988,4480,47,1,9,3086,5,5,1
2,2,Odisha,Mayurbhanj,Karanjia (NAC),1205,73,943,943,521,13,0,176,665,641,1,0
4,3,Odisha,Mayurbhanj,Rairangpur (M),1529,30,1119,1119,446,106,0,274,786,251,2,0
6,4,Odisha,Mayurbhanj,Udala (NAC),993,0,933,933,862,31,0,29,643,634,20,2
0,1,Odisha,Nabarangapur ,Nabarangapur (M),2609,162,2429,2244,1877,9,0,9,453,38,10,2
2,2,Odisha,Nabarangapur ,Umerkote (M),2178,61,2015,868,790,16,3,83,495,0,134,1
0,1,Odisha,Naupada,Khariar (NAC),1547,0,818,818,550,80,0,649,778,771,0,0
2,2,Odisha,Naupada,Khariar Road (NAC),1890,17,811,705,416,42,0,1020,482,0,11,0
4,3,Odisha,Naupada,Nuapada NAC,1663,1,814,620,591,5,0,843,602,4,4,0
0,1,Odisha,Nayagarh ,Daspalla NAC,2520,324,1057,1057,1029,560,8,571,1067,1055,0,1
2,2,Odisha,Nayagarh ,Khandapada (NAC),921,1,703,703,293,15,0,202,697,681,1,0
4,3,Odisha,Nayagarh ,Nayagarh (NAC),749,19,573,571,534,79,2,76,524,519,2,0
6,4,Odisha,Nayagarh ,Odagaon (NAC),5,3,2,2,2,0,0,0,0,0,0,0
8,5,Odisha,Nayagarh ,RANPUR NAC,1251,193,542,542,484,10,0,506,541,541,0,0
0,1,Odisha,Puri ,Konark (NAC),2221,9,1637,1481,1266,11,0,564,970,0,22,0
2,2,Odisha,Puri ,Nimapara (NAC),1540,174,884,867,731,44,0,438,644,0,65,0
4,3,Odisha,Puri ,Pipili (NAC),1049,20,848,847,692,5,1,175,778,0,3,0
6,4,Odisha,Puri ,Puri (M),7285,668,6492,6492,4773,92,4,29,3467,3089,154,10
0,1,Odisha,Rayagada ,Gudari (NAC),835,0,562,562,562,13,0,260,524,19,5,0
2,2,Odisha,Rayagada ,Gunupur (NAC),1362,0,619,619,569,25,0,718,574,54,0,0
4,3,Odisha,Rayagada ,Rayagada (M),3376,217,2340,2310,2133,176,1,642,716,687,43,0
0,1,Odisha,Sambalpur,Burla (NAC),0,0,0,0,0,0,0,0,0,0,0,0
2,2,Odisha,Sambalpur,Hirakud (NAC),0,0,0,0,0,0,0,0,0,0,0,0
4,3,Odisha,Sambalpur,Kuchinda (NAC),1066,4,354,353,253,2,0,706,321,270,0,0
6,4,Odisha,Sambalpur,Redhakhol (NAC),1029,95,765,431,327,85,3,81,399,397,0,2
8,5,Odisha,Sambalpur,Sambalpur (MC),12718,181,12384,12310,1722,124,1,28,766,56,16,1
0,1,Odisha,Subarnapur,Binika (NAC),2235,3,2038,2038,1681,182,0,12,664,0,1,1
2,2,Odisha,Subarnapur,Sonepur (M),2543,1138,410,333,276,648,1,346,308,298,1,1
4,3,Odisha,Subarnapur,Tarbha (NAC),1240,3,839,839,668,161,0,237,802,785,1,1
0,1,Odisha,Sundargarh ,Biramitrapur (M),2179,33,1801,1600,752,29,0,316,383,377,151,0
2,2,Odisha,Sundargarh ,O.C.L. (ITS),0,0,0,0,0,0,0,0,0,0,0,0
4,3,Odisha,Sundargarh ,Rajagangapur (M),2656,489,1741,1305,120,3,0,423,692,481,29,0
6,4,Odisha,Sundargarh ,Raurkela (ITS),0,0,0,0,0,0,0,0,0,0,0,0
8,5,Odisha,Sundargarh ,Raurkela (MC),12719,43,10725,10725,3814,606,0,1345,4990,2,981,0
10,6,Odisha,Sundargarh ,Sundargarh (M),2914,149,2308,2156,1993,52,2,403,1068,38,191,0
0,1,Puducherry ,Karaikal ,Karaikal (M),3437,3,2231,2231,2134,1141,0,62,633,323,8,0
0,1,Puducherry ,Mahe ,Mahe (M),69,0,64,64,64,1,0,4,64,0,0,0
0,1,Puducherry ,Puducherry ,Kurumbapet (GP),2,2,0,0,0,0,0,0,0,0,0,0
2,2,Puducherry ,Puducherry ,Ozhukarai (M),2877,131,2594,2565,2545,142,10,0,1303,17,2,2
4,3,Puducherry ,Puducherry ,Puducherry (M),3104,113,2301,2169,2136,687,1,2,1112,0,61,0
0,1,Puducherry ,Yanam ,Yanam (M),759,0,757,757,757,0,1,1,1,0,0,0
0,1,Punjab,Amritsar ,Ajnala (NP),377,112,265,265,263,0,0,0,337,0,0,0
2,2,Punjab,Amritsar ,Amritsar (M Corp.),8395,241,8108,8108,6568,31,0,15,7998,0,10,1
4,3,Punjab,Amritsar ,Amritsar Cantt. (CB),0,0,0,0,0,0,0,0,0,0,0,0
6,4,Punjab,Amritsar ,Jandiala (M Cl),1800,1,1791,1791,1790,8,0,0,1715,0,0,0
8,5,Punjab,Amritsar ,Majitha (M Cl),715,2,633,567,566,80,0,0,623,0,16,3
10,6,Punjab,Amritsar ,Raja Sansi (NP),160,3,148,91,91,7,0,2,114,0,3,0
12,7,Punjab,Amritsar ,Ramdas (M Cl),210,0,210,0,0,0,0,0,175,0,0,0
14,8,Punjab,Amritsar ,Rayya (NP),238,9,229,229,224,0,0,0,224,0,1,0
0,1,Punjab,Barnala ,Barnala (M Cl),1384,93,650,650,512,641,0,0,430,0,13,1
2,2,Punjab,Barnala ,Bhadaur (M Cl),680,0,680,2,2,0,0,0,665,0,0,2
4,3,Punjab,Barnala ,Dhanaula (M Cl),107,2,103,103,91,2,0,0,80,0,8,0
6,4,Punjab,Barnala ,Handiaya (NP),523,1,325,325,233,197,0,0,297,0,0,1
8,5,Punjab,Barnala ,Tapa (M Cl),209,4,192,188,177,12,1,0,186,0,1,0
0,1,Punjab,Bathinda,Baalainwali,1354,11,1329,1328,1317,12,1,1,1330,6,0,0
2,2,Punjab,Bathinda,Bathinda (M Corp.),2038,5,1509,1509,1484,284,0,240,1511,1,1,2
4,3,Punjab,Bathinda,Bhagta Bhai Ka (NP),577,0,536,536,532,41,0,0,536,0,0,0
6,4,Punjab,Bathinda,Bhai Rupa,741,14,694,694,692,33,0,0,694,0,0,0
8,5,Punjab,Bathinda,Bhucho Mandi (M Cl),109,2,107,107,107,0,0,0,107,0,0,1
10,6,Punjab,Bathinda,Chauke,1177,96,771,758,756,309,1,0,941,1,0,0
12,7,Punjab,Bathinda,Goniana (M Cl),279,2,270,270,267,4,0,3,270,0,1,0
14,8,Punjab,Bathinda,Kot Fatta (M Cl),264,0,264,264,255,0,0,0,264,0,0,0
16,9,Punjab,Bathinda,Kot Shamir,540,0,540,540,539,0,0,0,540,0,0,0
18,10,Punjab,Bathinda,Kotha Guru,990,0,990,990,990,0,0,0,990,0,0,0
20,11,Punjab,Bathinda,Lehra Mohabbat,388,5,380,380,380,3,0,0,380,0,0,0
22,12,Punjab,Bathinda,Maluka,327,12,310,310,306,5,0,0,310,0,0,0
24,13,Punjab,Bathinda,Mandi Kalan,881,2,790,790,790,89,0,0,792,0,1,1
26,14,Punjab,Bathinda,Maur (M Cl),1930,4,1788,1788,1782,137,1,0,1774,0,1,0
28,15,Punjab,Bathinda,Mehraj,1105,0,1090,1090,1045,15,0,0,1091,0,0,0
30,16,Punjab,Bathinda,Nathana,644,0,640,640,624,2,0,2,640,0,0,0
32,17,Punjab,Bathinda,Raman (M Cl),292,2,290,290,34,0,0,0,290,0,0,0
34,18,Punjab,Bathinda,Rampura (NP),1069,2,982,982,981,85,0,0,982,0,0,0
36,19,Punjab,Bathinda,Rampura Phul (M Cl),241,2,153,153,144,84,0,2,156,0,0,0
38,20,Punjab,Bathinda,Sangat (M Cl),113,0,96,96,94,17,0,0,96,0,0,2
40,21,Punjab,Bathinda,Talwandi Sabo (NP),582,0,559,559,461,22,1,0,559,0,0,661
0,1,Punjab,Faridkot ,Faridkot (M Cl),695,3,691,691,688,0,0,1,691,0,0,0
2,2,Punjab,Faridkot ,Jaitu (M Cl),1278,14,1262,1262,1254,2,0,0,1262,0,0,1
4,3,Punjab,Faridkot ,Kot Kapura (M Cl),1581,0,1578,1578,1571,2,1,0,1580,0,0,0
0,1,Punjab,Fazilka,Abohar (M Cl),2769,131,2616,923,912,19,2,1,932,0,5,9
2,2,Punjab,Fazilka,Arniwala Sheikh Subhan,2735,2057,668,667,667,7,3,0,680,0,4,7
4,3,Punjab,Fazilka,Fazilka (M Cl),14598,13519,94,94,90,592,32,361,1564,0,953,186
